"","Date.x","DO","Alt","Month.x","dinflow","Month.y","JonesExp","BanksExpSWP","BanksExpCVP","Month","year","Date.y","FlowBin","OMRBin","BinNum","Date","Code","Wytype","Alt_name","Wytype_short","FlowBin_f","Wytype_f","MonthlyOMR","BinNum_f","totalEXP","dinflow_Minus_totalEXP_CFS","dinflow_Minus_totalEXP_percent","month","month_f"
"44",1928-01-30 16:00:00,29633.9260451387,"EXP1 090623",1,30283.0337594415,1,0,0,0,1,1928,1928-01-31,"himed","NA",NA,1928-01-31,2,"Above Normal Years (40-30-30)","EXP1","AN","himed","AN",1158.3809398907,NA,0,30283.0337594415,0,1,"1"
"45",1928-02-28 16:00:00,39222.9393740637,"EXP1 090623",2,39323.5522082863,2,0,0,0,2,1928,1928-02-29,"himed","NA",NA,1928-02-29,2,"Above Normal Years (40-30-30)","EXP1","AN","himed","AN",1969.80470798202,NA,0,39323.5522082863,0,2,"2"
"46",1928-03-30 16:00:00,118781.957135299,"EXP1 090623",3,117018.766937684,3,0,0,0,3,1928,1928-03-31,"hihi","NA",NA,1928-03-31,2,"Above Normal Years (40-30-30)","EXP1","AN","hihi","AN",4813.87134707574,NA,0,117018.766937684,0,3,"3"
"47",1928-04-29 16:00:00,56268.5538314121,"EXP1 090623",4,57726.2228595356,4,0,0,0,4,1928,1928-04-30,"hihi","NA",NA,1928-04-30,2,"Above Normal Years (40-30-30)","EXP1","AN","hihi","AN",2984.91686708507,NA,0,57726.2228595356,0,4,"4"
"48",1928-05-30 16:00:00,10975.5351537208,"EXP1 090623",5,13647.43575223,5,0,0,0,5,1928,1928-05-31,"lomed","NA",NA,1928-05-31,2,"Above Normal Years (40-30-30)","EXP1","AN","lomed","AN",771.191132075569,NA,0,13647.43575223,0,5,"5"
"49",1928-06-29 16:00:00,1763.17359591651,"EXP1 090623",6,5788.59783347987,6,0,0,0,6,1928,1928-06-30,"NA","NA",NA,1928-06-30,2,"Above Normal Years (40-30-30)","EXP1","AN",NA,"AN",-366.895941150783,NA,0,5788.59783347987,0,6,"6"
"50",1928-12-30 16:00:00,13950.3754354878,"EXP1 090623",12,13781.0695218286,12,0,0,0,12,1928,1928-12-31,"lolo","NA",NA,1928-12-31,2,"Above Normal Years (40-30-30)","EXP1","AN","lolo","AN",664.714646130183,NA,0,13781.0695218286,0,12,"12"
"51",1929-01-30 16:00:00,14027.989817157,"EXP1 090623",1,14257.0470745232,1,0,0,0,1,1929,1929-01-31,"lolo","NA",NA,1929-01-31,5,"Critically Dry Years (40-30-30)","EXP1","CD","lolo","CD",654.24859689683,NA,0,14257.0470745232,0,1,"1"
"52",1929-02-27 16:00:00,25774.9100683122,"EXP1 090623",2,25978.513677707,2,0,0,0,2,1929,1929-02-28,"medlo","NA",NA,1929-02-28,5,"Critically Dry Years (40-30-30)","EXP1","CD","medlo","CD",851.214143299768,NA,0,25978.513677707,0,2,"2"
"53",1929-03-30 16:00:00,18294.0295647887,"EXP1 090623",3,18836.8415955604,3,0,0,0,3,1929,1929-03-31,"medlo","NA",NA,1929-03-31,5,"Critically Dry Years (40-30-30)","EXP1","CD","medlo","CD",835.640863093091,NA,0,18836.8415955604,0,3,"3"
"54",1929-04-29 16:00:00,15443.1497406633,"EXP1 090623",4,17144.945928932,4,0,0,0,4,1929,1929-04-30,"medlo","NA",NA,1929-04-30,5,"Critically Dry Years (40-30-30)","EXP1","CD","medlo","CD",508.489382128872,NA,0,17144.945928932,0,4,"4"
"55",1929-05-30 16:00:00,3843.83707120576,"EXP1 090623",5,6543.35480005598,5,0,0,0,5,1929,1929-05-31,"NA","NA",NA,1929-05-31,5,"Critically Dry Years (40-30-30)","EXP1","CD",NA,"CD",-193.63033403031,NA,0,6543.35480005598,0,5,"5"
"56",1929-06-29 16:00:00,971.415187434223,"EXP1 090623",6,4377.19334420601,6,0,0,0,6,1929,1929-06-30,"NA","NA",NA,1929-06-30,5,"Critically Dry Years (40-30-30)","EXP1","CD",NA,"CD",-590.294468790236,NA,0,4377.19334420601,0,6,"6"
"57",1929-12-30 16:00:00,45966.9002503955,"EXP1 090623",12,46401.5891882115,12,0,0,0,12,1929,1929-12-31,"NA","NA",NA,1929-12-31,5,"Critically Dry Years (40-30-30)","EXP1","CD",NA,"CD",337.667272515222,NA,0,46401.5891882115,0,12,"12"
"58",1930-01-30 16:00:00,46009.6306677529,"EXP1 090623",1,43393.8916605436,1,0,0,0,1,1930,1930-01-31,"hilo","NA",NA,1930-01-31,4,"Dry Years (40-30-30)","EXP1","D","hilo","D",1527.12675519845,NA,0,43393.8916605436,0,1,"1"
"59",1930-02-27 16:00:00,33480.022262589,"EXP1 090623",2,32726.9286558047,2,0,0,0,2,1930,1930-02-28,"himed","NA",NA,1930-02-28,4,"Dry Years (40-30-30)","EXP1","D","himed","D",1421.63389157223,NA,0,32726.9286558047,0,2,"2"
"60",1930-03-30 16:00:00,53905.3519096057,"EXP1 090623",3,53476.5181461932,3,0,0,0,3,1930,1930-03-31,"himed","NA",NA,1930-03-31,4,"Dry Years (40-30-30)","EXP1","D","himed","D",1599.6192259452,NA,0,53476.5181461932,0,3,"3"
"61",1930-04-29 16:00:00,20509.8808770996,"EXP1 090623",4,21832.6223009502,4,0,0,0,4,1930,1930-04-30,"medmed","NA",NA,1930-04-30,4,"Dry Years (40-30-30)","EXP1","D","medmed","D",952.553705979647,NA,0,21832.6223009502,0,4,"4"
"62",1930-05-30 16:00:00,9784.02134743016,"EXP1 090623",5,12313.0999171887,5,0,0,0,5,1930,1930-05-31,"lolo","NA",NA,1930-05-31,4,"Dry Years (40-30-30)","EXP1","D","lolo","D",46.1706623915778,NA,0,12313.0999171887,0,5,"5"
"63",1930-06-29 16:00:00,519.111935064812,"EXP1 090623",6,4557.85589460598,6,0,0,0,6,1930,1930-06-30,"NA","NA",NA,1930-06-30,4,"Dry Years (40-30-30)","EXP1","D",NA,"D",-578.553981865338,NA,0,4557.85589460598,0,6,"6"
"64",1930-12-30 16:00:00,4745.71818661241,"EXP1 090623",12,6890.99432337922,12,0,0,0,12,1930,1930-12-31,"lolo","NA",NA,1930-12-31,4,"Dry Years (40-30-30)","EXP1","D","lolo","D",-20.6572361016539,NA,0,6890.99432337922,0,12,"12"
"65",1931-01-30 16:00:00,17410.0571361423,"EXP1 090623",1,15607.9354900188,1,0,0,0,1,1931,1931-01-31,"medlo","NA",NA,1931-01-31,5,"Critically Dry Years (40-30-30)","EXP1","CD","medlo","CD",1125.16335006214,NA,0,15607.9354900188,0,1,"1"
"66",1931-02-27 16:00:00,16084.554383976,"EXP1 090623",2,15588.2570599334,2,0,0,0,2,1931,1931-02-28,"medlo","NA",NA,1931-02-28,5,"Critically Dry Years (40-30-30)","EXP1","CD","medlo","CD",1003.35065744522,NA,0,15588.2570599334,0,2,"2"
"67",1931-03-30 16:00:00,14502.5469359692,"EXP1 090623",3,14739.012145228,3,0,0,0,3,1931,1931-03-31,"lolo","NA",NA,1931-03-31,5,"Critically Dry Years (40-30-30)","EXP1","CD","lolo","CD",764.290971208773,NA,0,14739.012145228,0,3,"3"
"68",1931-04-29 16:00:00,5037.08073484772,"EXP1 090623",4,7019.66761230933,4,0,0,0,4,1931,1931-04-30,"lolo","NA",NA,1931-04-30,5,"Critically Dry Years (40-30-30)","EXP1","CD","lolo","CD",301.724613748918,NA,0,7019.66761230933,0,4,"4"
"69",1931-05-30 16:00:00,2946.71317032639,"EXP1 090623",5,4394.28409327585,5,0,0,0,5,1931,1931-05-31,"NA","NA",NA,1931-05-31,5,"Critically Dry Years (40-30-30)","EXP1","CD",NA,"CD",-203.255414753075,NA,0,4394.28409327585,0,5,"5"
"70",1931-06-29 16:00:00,0,"EXP1 090623",6,3867.98128770958,6,0,0,0,6,1931,1931-06-30,"NA","NA",NA,1931-06-30,5,"Critically Dry Years (40-30-30)","EXP1","CD",NA,"CD",-906.534186118721,NA,0,3867.98128770958,0,6,"6"
"71",1931-12-30 16:00:00,41837.1812687738,"EXP1 090623",12,39005.3873980993,12,0,0,0,12,1931,1931-12-31,"himed","NA",NA,1931-12-31,5,"Critically Dry Years (40-30-30)","EXP1","CD","himed","CD",2325.09447734701,NA,0,39005.3873980993,0,12,"12"
"72",1932-01-30 16:00:00,36858.8816110604,"EXP1 090623",1,36626.8718809778,1,0,0,0,1,1932,1932-01-31,"himed","NA",NA,1932-01-31,5,"Critically Dry Years (40-30-30)","EXP1","CD","himed","CD",1139.44798374287,NA,0,36626.8718809778,0,1,"1"
"73",1932-02-28 16:00:00,40738.1230070453,"EXP1 090623",2,38695.7178587398,2,0,0,0,2,1932,1932-02-29,"hihi","NA",NA,1932-02-29,5,"Critically Dry Years (40-30-30)","EXP1","CD","hihi","CD",3561.59446596078,NA,0,38695.7178587398,0,2,"2"
"74",1932-03-30 16:00:00,26511.9042327621,"EXP1 090623",3,27555.9692042182,3,0,0,0,3,1932,1932-03-31,"medhi","NA",NA,1932-03-31,5,"Critically Dry Years (40-30-30)","EXP1","CD","medhi","CD",1824.07663283176,NA,0,27555.9692042182,0,3,"3"
"75",1932-04-29 16:00:00,26651.2255772536,"EXP1 090623",4,28547.2514751075,4,0,0,0,4,1932,1932-04-30,"medhi","NA",NA,1932-04-30,5,"Critically Dry Years (40-30-30)","EXP1","CD","medhi","CD",2558.06521427623,NA,0,28547.2514751075,0,4,"4"
