"","Date","JonesExp","BanksExpSWP","BanksExpCVP","Alt"
"221",1940-02-29,"0","0","0","EXP1 090623"
"222",1940-03-31,"0","0","0","EXP1 090623"
"223",1940-04-30,"0","0","0","EXP1 090623"
"224",1940-05-31,"0","0","0","EXP1 090623"
"225",1940-06-30,"0","0","0","EXP1 090623"
"226",1940-07-31,"0","0","0","EXP1 090623"
"227",1940-08-31,"0","0","0","EXP1 090623"
"228",1940-09-30,"0","0","0","EXP1 090623"
"229",1940-10-31,"0","0","0","EXP1 090623"
"230",1940-11-30,"0","0","0","EXP1 090623"
"231",1940-12-31,"0","0","0","EXP1 090623"
"232",1941-01-31,"0","0","0","EXP1 090623"
"233",1941-02-28,"0","0","0","EXP1 090623"
"234",1941-03-31,"0","0","0","EXP1 090623"
"235",1941-04-30,"0","0","0","EXP1 090623"
"236",1941-05-31,"0","0","0","EXP1 090623"
"237",1941-06-30,"0","0","0","EXP1 090623"
"238",1941-07-31,"0","0","0","EXP1 090623"
"239",1941-08-31,"0","0","0","EXP1 090623"
"240",1941-09-30,"0","0","0","EXP1 090623"
"241",1941-10-31,"0","0","0","EXP1 090623"
"242",1941-11-30,"0","0","0","EXP1 090623"
"243",1941-12-31,"0","0","0","EXP1 090623"
"244",1942-01-31,"0","0","0","EXP1 090623"
"245",1942-02-28,"0","0","0","EXP1 090623"
"246",1942-03-31,"0","0","0","EXP1 090623"
"247",1942-04-30,"0","0","0","EXP1 090623"
"248",1942-05-31,"0","0","0","EXP1 090623"
"249",1942-06-30,"0","0","0","EXP1 090623"
"250",1942-07-31,"0","0","0","EXP1 090623"
"251",1942-08-31,"0","0","0","EXP1 090623"
"252",1942-09-30,"0","0","0","EXP1 090623"
"253",1942-10-31,"0","0","0","EXP1 090623"
"254",1942-11-30,"0","0","0","EXP1 090623"
"255",1942-12-31,"0","0","0","EXP1 090623"
"256",1943-01-31,"0","0","0","EXP1 090623"
"257",1943-02-28,"0","0","0","EXP1 090623"
"258",1943-03-31,"0","0","0","EXP1 090623"
"259",1943-04-30,"0","0","0","EXP1 090623"
"260",1943-05-31,"0","0","0","EXP1 090623"
"261",1943-06-30,"0","0","0","EXP1 090623"
"262",1943-07-31,"0","0","0","EXP1 090623"
"263",1943-08-31,"0","0","0","EXP1 090623"
"264",1943-09-30,"0","0","0","EXP1 090623"
"265",1943-10-31,"0","0","0","EXP1 090623"
"266",1943-11-30,"0","0","0","EXP1 090623"
"267",1943-12-31,"0","0","0","EXP1 090623"
"268",1944-01-31,"0","0","0","EXP1 090623"
"269",1944-02-29,"0","0","0","EXP1 090623"
"270",1944-03-31,"0","0","0","EXP1 090623"
"271",1944-04-30,"0","0","0","EXP1 090623"
"272",1944-05-31,"0","0","0","EXP1 090623"
"273",1944-06-30,"0","0","0","EXP1 090623"
"274",1944-07-31,"0","0","0","EXP1 090623"
"275",1944-08-31,"0","0","0","EXP1 090623"
"276",1944-09-30,"0","0","0","EXP1 090623"
"277",1944-10-31,"0","0","0","EXP1 090623"
"278",1944-11-30,"0","0","0","EXP1 090623"
"279",1944-12-31,"0","0","0","EXP1 090623"
"280",1945-01-31,"0","0","0","EXP1 090623"
"281",1945-02-28,"0","0","0","EXP1 090623"
"282",1945-03-31,"0","0","0","EXP1 090623"
"283",1945-04-30,"0","0","0","EXP1 090623"
"284",1945-05-31,"0","0","0","EXP1 090623"
