"","Alternative","Inflow Group","Mean","Min","Max"
"71","EXP1","lolo",0,0,0
"72","EXP1","lomed",0,0,0
"73","EXP1","medhi",0,0,0
"74","EXP1","medlo",0,0,0
"75","EXP1","medmed",0,0,0
"76","EXP1",NA,0,0,0
"77","EXP3","hihi",0,0,0
"78","EXP3","hilo",0,0,0
"79","EXP3","himed",0,0,0
"80","EXP3","lohi",0,0,0
"81","EXP3","lolo",0,0,0
"82","EXP3","lomed",0,0,0
"83","EXP3","medhi",0,0,0
"84","EXP3","medlo",0,0,0
"85","EXP3","medmed",0,0,0
"86","EXP3",NA,0,0,0
"87","NAA","hihi",11.7100527007716,1.72159692948326,23.3032647433971
"88","NAA","hilo",15.5041635899073,6.19848871758973,21.9296771877877
"89","NAA","himed",13.6150674197844,3.69249198169923,24.6637665688962
