"","Date","DO","Alt"
"241",1941-10-31,"9533.7698611054111","EXP1 090623"
"242",1941-11-30,"10535.935569673031","EXP1 090623"
"243",1941-12-31,"80920.548795523937","EXP1 090623"
"244",1942-01-31,"104841.91362628948","EXP1 090623"
"245",1942-02-28,"171469.78778408488","EXP1 090623"
"246",1942-03-31,"48421.679839027049","EXP1 090623"
"247",1942-04-30,"72156.525937775528","EXP1 090623"
"248",1942-05-31,"52479.464247312186","EXP1 090623"
"249",1942-06-30,"18060.299157643702","EXP1 090623"
"250",1942-07-31,"2388.2253067471875","EXP1 090623"
"251",1942-08-31,"1830.8484532679456","EXP1 090623"
"252",1942-09-30,"8176.4709312280984","EXP1 090623"
"253",1942-10-31,"7560.4729581737374","EXP1 090623"
"254",1942-11-30,"19849.647719550507","EXP1 090623"
"255",1942-12-31,"36322.535720161854","EXP1 090623"
"256",1943-01-31,"111194.4530706783","EXP1 090623"
"257",1943-02-28,"81421.200265358799","EXP1 090623"
"258",1943-03-31,"113089.21436604392","EXP1 090623"
"259",1943-04-30,"52530.242190702033","EXP1 090623"
"260",1943-05-31,"18424.630602805682","EXP1 090623"
"261",1943-06-30,"6081.1003857231171","EXP1 090623"
"262",1943-07-31,"353.56152173272324","EXP1 090623"
"263",1943-08-31,"328.44824646572931","EXP1 090623"
"264",1943-09-30,"4755.927634538295","EXP1 090623"
"265",1943-10-31,"5686.1896660362909","EXP1 090623"
"266",1943-11-30,"6191.6334229280437","EXP1 090623"
"267",1943-12-31,"10423.381262239467","EXP1 090623"
"268",1944-01-31,"16677.097248058566","EXP1 090623"
"269",1944-02-29,"44758.453988861576","EXP1 090623"
"270",1944-03-31,"37032.204193264057","EXP1 090623"
"271",1944-04-30,"20514.225291782797","EXP1 090623"
"272",1944-05-31,"10757.484204381602","EXP1 090623"
"273",1944-06-30,"4882.2194938660887","EXP1 090623"
"274",1944-07-31,"0","EXP1 090623"
"275",1944-08-31,"0","EXP1 090623"
"276",1944-09-30,"2582.5977422861511","EXP1 090623"
"277",1944-10-31,"2962.7999456790499","EXP1 090623"
"278",1944-11-30,"22533.009281564944","EXP1 090623"
"279",1944-12-31,"28789.347482612313","EXP1 090623"
"280",1945-01-31,"18640.592395547883","EXP1 090623"
"281",1945-02-28,"97651.634859943268","EXP1 090623"
"282",1945-03-31,"47736.269357131721","EXP1 090623"
"283",1945-04-30,"28452.856547913099","EXP1 090623"
"284",1945-05-31,"19777.439731377755","EXP1 090623"
"285",1945-06-30,"6237.4099996187679","EXP1 090623"
"286",1945-07-31,"0","EXP1 090623"
"287",1945-08-31,"0","EXP1 090623"
"288",1945-09-30,"3872.0789062504314","EXP1 090623"
"289",1945-10-31,"12907.847684050585","EXP1 090623"
"290",1945-11-30,"22444.650571624603","EXP1 090623"
"291",1945-12-31,"109546.4736999521","EXP1 090623"
"292",1946-01-31,"70880.603434807097","EXP1 090623"
"293",1946-02-28,"36763.534006184556","EXP1 090623"
"294",1946-03-31,"38666.094548927555","EXP1 090623"
"295",1946-04-30,"33333.889528940184","EXP1 090623"
"296",1946-05-31,"13445.706452815404","EXP1 090623"
"297",1946-06-30,"2680.9749057945864","EXP1 090623"
"298",1946-07-31,"0","EXP1 090623"
"299",1946-08-31,"0","EXP1 090623"
"300",1946-09-30,"3890.4972743116732","EXP1 090623"
"301",1946-10-31,"4506.1210202083585","EXP1 090623"
"302",1946-11-30,"13964.692168811467","EXP1 090623"
"303",1946-12-31,"20007.704294749077","EXP1 090623"
"304",1947-01-31,"10675.883495810349","EXP1 090623"
"305",1947-02-28,"29146.71997725025","EXP1 090623"
"306",1947-03-31,"36382.327901836179","EXP1 090623"
"307",1947-04-30,"18475.881406697205","EXP1 090623"
"308",1947-05-31,"3369.2603943204504","EXP1 090623"
"309",1947-06-30,"1014.9221137180173","EXP1 090623"
"310",1947-07-31,"0","EXP1 090623"
"311",1947-08-31,"0","EXP1 090623"
"312",1947-09-30,"2076.3161714487328","EXP1 090623"
"313",1947-10-31,"10377.58675666238","EXP1 090623"
"314",1947-11-30,"8981.7373769440946","EXP1 090623"
"315",1947-12-31,"7102.4848984900555","EXP1 090623"
"316",1948-01-31,"26093.975473533552","EXP1 090623"
"317",1948-02-29,"14348.412832439481","EXP1 090623"
"318",1948-03-31,"29291.340097475106","EXP1 090623"
"319",1948-04-30,"65583.011772189828","EXP1 090623"
"320",1948-05-31,"40567.795142855488","EXP1 090623"
"321",1948-06-30,"13538.34410315949","EXP1 090623"
"322",1948-07-31,"0","EXP1 090623"
"323",1948-08-31,"0","EXP1 090623"
"324",1948-09-30,"4399.2855515215579","EXP1 090623"
"325",1948-10-31,"4433.6338151965774","EXP1 090623"
"326",1948-11-30,"5449.3369006807852","EXP1 090623"
"327",1948-12-31,"14589.855020810437","EXP1 090623"
"328",1949-01-31,"11695.953540059525","EXP1 090623"
"329",1949-02-28,"21660.217868812317","EXP1 090623"
"330",1949-03-31,"70110.695732135428","EXP1 090623"
"331",1949-04-30,"24243.532224782157","EXP1 090623"
"332",1949-05-31,"11596.798401951479","EXP1 090623"
"333",1949-06-30,"144.59735195425716","EXP1 090623"
"334",1949-07-31,"0","EXP1 090623"
"335",1949-08-31,"0","EXP1 090623"
"336",1949-09-30,"2132.6157789159411","EXP1 090623"
"337",1949-10-31,"1443.784368887498","EXP1 090623"
"338",1949-11-30,"4262.0477255090573","EXP1 090623"
"339",1949-12-31,"6459.2618222215806","EXP1 090623"
"340",1950-01-31,"44877.691555259946","EXP1 090623"
"341",1950-02-28,"66057.378875935319","EXP1 090623"
"342",1950-03-31,"36305.905436332243","EXP1 090623"
"343",1950-04-30,"35846.74653727511","EXP1 090623"
"344",1950-05-31,"16168.956830841256","EXP1 090623"
"345",1950-06-30,"4046.9999011117229","EXP1 090623"
"346",1950-07-31,"0","EXP1 090623"
"347",1950-08-31,"0","EXP1 090623"
"348",1950-09-30,"3681.7058945080798","EXP1 090623"
"349",1950-10-31,"17643.622891720937","EXP1 090623"
"350",1950-11-30,"73268.970442479695","EXP1 090623"
"351",1950-12-31,"141895.00205082961","EXP1 090623"
"352",1951-01-31,"96178.807039754","EXP1 090623"
"353",1951-02-28,"88154.693154352164","EXP1 090623"
"354",1951-03-31,"52010.156714202159","EXP1 090623"
"355",1951-04-30,"20265.702454278744","EXP1 090623"
"356",1951-05-31,"19813.104552182791","EXP1 090623"
"357",1951-06-30,"2155.190932102138","EXP1 090623"
"358",1951-07-31,"0","EXP1 090623"
"359",1951-08-31,"0","EXP1 090623"
"360",1951-09-30,"3485.6089092811176","EXP1 090623"
"361",1951-10-31,"9628.7860031952259","EXP1 090623"
"362",1951-11-30,"16760.29812550691","EXP1 090623"
"363",1951-12-31,"75489.428012068514","EXP1 090623"
"364",1952-01-31,"130250.06982523279","EXP1 090623"
"365",1952-02-29,"112315.42262749422","EXP1 090623"
"366",1952-03-31,"100555.15082446281","EXP1 090623"
"367",1952-04-30,"81361.675229085944","EXP1 090623"
"368",1952-05-31,"69197.325634152628","EXP1 090623"
"369",1952-06-30,"30898.878096053861","EXP1 090623"
"370",1952-07-31,"5105.2724298973826","EXP1 090623"
"371",1952-08-31,"4055.6448064030833","EXP1 090623"
"372",1952-09-30,"8996.5950615816091","EXP1 090623"
"373",1952-10-31,"6079.5504855105664","EXP1 090623"
"374",1952-11-30,"8971.4872484381722","EXP1 090623"
"375",1952-12-31,"52754.920039696066","EXP1 090623"
"376",1953-01-31,"109437.33552264496","EXP1 090623"
"377",1953-02-28,"39113.251167046146","EXP1 090623"
"378",1953-03-31,"32258.046168564833","EXP1 090623"
"379",1953-04-30,"36295.613350861146","EXP1 090623"
"380",1953-05-31,"31107.259741748065","EXP1 090623"
"381",1953-06-30,"18038.929043830394","EXP1 090623"
"382",1953-07-31,"809.48346026183901","EXP1 090623"
"383",1953-08-31,"2235.6920175150367","EXP1 090623"
"384",1953-09-30,"6883.3260042405354","EXP1 090623"
"385",1953-10-31,"6201.2803419854799","EXP1 090623"
