"","Water Year Type","Month","NAA Monthly Mean %","NAA SD","Alt1 Monthly Mean %","Alt1 SD","Alt2woTUCPwoVA Monthly Mean %","Alt2woTUCPwoVA SD","Alt2woTUCPDeltaVA Monthly Mean %","Alt2woTUCPDeltaVA SD","Alt2woTUCPAllVA Monthly Mean %","Alt2woTUCPAllVA SD","Alt2wTUCPwoVA Monthly Mean %","Alt2wTUCPwoVA SD","Alt3 Monthly Mean %","Alt3 SD","Alt4 Monthly Mean %","Alt4 SD","EXP1 Monthly Mean %","EXP1 SD","EXP3 Monthly Mean %","EXP3 SD"
"23","D",2,23.3225585511924,9.42387084264748,31.9774972468157,8.61391718442913,21.6265197624305,8.90334540789381,21.4923472568378,8.94474681692602,22.1621552859102,9.08346419202852,21.6140994736523,8.9221669408765,16.3524374142669,8.8087669309475,24.1737766354859,8.88458150811651,0,0,0,0
"24","D",3,24.971256714144,6.68891080387153,32.2107104571923,4.84138751772489,24.6309001061522,6.89790371062615,19.225847464927,6.37072319498261,19.1090021866531,6.30481939986472,24.6407891078719,6.89378718544995,18.2448587651292,8.98300396453283,24.8758071515315,6.79647835535526,0,0,0,0
"25","D",4,16.8400281402728,3.17755564951195,20.5822408632193,3.87784679111394,19.0452861102711,3.3924759174431,15.3529386482459,4.81891767703992,14.2703738969135,4.47722316249045,19.0607162195444,3.41305178110237,6.06341789620003,1.50248705608104,19.1276789890687,3.31860313861945,0,0,0,0
"26","D",5,18.1996100113627,3.68409496500186,23.6593025932664,4.8440152270341,21.2486100680835,5.55560238402964,19.6286004571626,6.32887277354831,18.4617949827851,6.17785580157101,21.2533522361944,5.55774089475307,7.15443272825099,1.5846577542343,21.2856088134731,5.57774861206778,0,0,0,0
"27","D",6,30.5422256198852,2.52745818212233,31.291331020536,3.52522722192407,27.874802235103,2.07853001753433,27.5066152480972,2.39111169244313,27.7387806446071,2.49950978944227,27.8863492702851,2.06492345487475,9.17311135855074,4.64464852518187,28.080821184932,1.80186241209882,0,0,0,0
"28","D",12,22.014886124645,11.0224889606198,37.0086784627904,16.9082849487087,22.1677764156246,11.381364098947,22.1645379912948,11.4246289946231,22.2558728388451,10.6858784034048,22.945769043679,11.2369474401698,13.3423739708323,9.37291263966287,21.6521359454885,11.2739846154085,0,0,0,0
"29","W",1,11.6831539649797,5.67988077238408,18.4267838771462,12.9990673658098,11.3198560038372,5.17866255659702,11.4084166322182,5.33768915232531,11.4099614606083,5.352102904336,11.3272574714043,5.18758798687411,9.44598353905366,6.42176978133429,11.0672101199119,5.20809629197606,0,0,0,0
"30","W",2,9.94628368137138,4.93194019315464,13.1672283261052,8.08924937848801,10.2823743968115,5.21530071783612,10.3307695925981,5.28655908747891,10.3317364226131,5.28430043716851,10.2871471203988,5.21020319889755,6.1675752351024,4.02793830668755,10.6618763848845,5.52558621744977,0,0,0,0
"31","W",3,11.7965992446908,6.63560596316486,15.15923255838,9.60313436944383,12.4663597814403,6.81021850886642,11.8908649740749,6.79410695639458,11.9071739053255,6.83599615443435,12.4799630191685,6.80303682689658,4.77526739305716,3.152336136753,13.340980734217,7.39054633748901,0,0,0,0
"32","W",4,13.1536460594346,4.69375165164448,15.5329952687758,7.20058739975923,15.7370398452268,7.11374138525193,13.615722224734,6.80886027725494,13.4711804157794,6.69673116821453,15.7098631899002,7.12575735260403,3.75655535603574,2.66986657851654,15.709959057223,7.03152616835381,0,0,0,0
"33","W",5,18.4741299513983,5.52304510361422,23.4448115081941,6.41129316012033,23.6316750735722,6.32981325217298,23.6957890269356,6.41364030184753,23.5545364825001,6.29083084525579,23.654895187761,6.33612035437456,3.73768391066313,2.84604676345777,23.4552247617129,6.30888690966508,0,0,0,0
"34","W",6,30.9098175159222,4.41150916852981,32.6071005605777,4.11308081606243,30.1812825217837,4.1795937939596,30.2108654161055,4.18300165054624,30.2937062364058,4.20118463113539,30.1856651180647,4.18323229466859,25.9957122520001,8.46233773918787,29.9678524507878,4.2679850613869,0,0,0,0
"35","W",12,36.6778497695147,20.4644381592982,41.5124443207164,18.2205876105354,36.6339906647368,20.2502524774582,36.0498327361864,19.9040915456039,36.0406227833627,19.875202656216,36.6275784385355,20.2444946129583,19.8821838493618,13.0597068316713,33.3773749996395,18.1368786315293,0,0,0,0
