"","Date","DO","Alt"
"241",1941-10-31,"9484.3640511688991","EXP1 071323"
"242",1941-11-30,"10471.213468133617","EXP1 071323"
"243",1941-12-31,"80855.842132852616","EXP1 071323"
"244",1942-01-31,"104642.55199900923","EXP1 071323"
"245",1942-02-28,"171349.93308727664","EXP1 071323"
"246",1942-03-31,"48335.453021892834","EXP1 071323"
"247",1942-04-30,"72030.726744355561","EXP1 071323"
"248",1942-05-31,"52344.223047399697","EXP1 071323"
"249",1942-06-30,"17399.386060406385","EXP1 071323"
"250",1942-07-31,"2156.5147735824203","EXP1 071323"
"251",1942-08-31,"2013.2689781251913","EXP1 071323"
"252",1942-09-30,"8394.862078373646","EXP1 071323"
"253",1942-10-31,"7481.352819091313","EXP1 071323"
"254",1942-11-30,"19750.275796607319","EXP1 071323"
"255",1942-12-31,"36241.581840212486","EXP1 071323"
"256",1943-01-31,"110969.19993900122","EXP1 071323"
"257",1943-02-28,"81339.51298689119","EXP1 071323"
"258",1943-03-31,"113000.6240611001","EXP1 071323"
"259",1943-04-30,"52431.238715572188","EXP1 071323"
"260",1943-05-31,"17863.439498917855","EXP1 071323"
"261",1943-06-30,"5257.7692063486911","EXP1 071323"
"262",1943-07-31,"479.4344927278716","EXP1 071323"
"263",1943-08-31,"0","EXP1 071323"
"264",1943-09-30,"4631.0308806897538","EXP1 071323"
"265",1943-10-31,"5498.9079136041782","EXP1 071323"
"266",1943-11-30,"6079.3421843307697","EXP1 071323"
"267",1943-12-31,"10358.172888948393","EXP1 071323"
"268",1944-01-31,"16672.014190592712","EXP1 071323"
"269",1944-02-29,"44719.884874308009","EXP1 071323"
"270",1944-03-31,"36990.324837493201","EXP1 071323"
"271",1944-04-30,"20372.737316384424","EXP1 071323"
"272",1944-05-31,"10293.71221117208","EXP1 071323"
"273",1944-06-30,"4650.0328823990776","EXP1 071323"
"274",1944-07-31,"0","EXP1 071323"
"275",1944-08-31,"0","EXP1 071323"
"276",1944-09-30,"2567.9179180284232","EXP1 071323"
"277",1944-10-31,"3060.5972937156057","EXP1 071323"
"278",1944-11-30,"22592.07909578253","EXP1 071323"
"279",1944-12-31,"28745.579302362614","EXP1 071323"
"280",1945-01-31,"18619.815624269821","EXP1 071323"
